"","condominiumIndicator","communityRatingSystemDiscount","dateOfLoss","elevatedBuildingIndicator","latitude","longitude","locationOfContents","lowestFloorElevation","numberOfFloorsInTheInsuredBuilding","occupancyType","primaryResidence","totalAmount","totalCoverage"
"3","0","2",1998-02-03,"0",37.5,-122.1,"1",0,"2","2","1",32886.55,266500
"7","0","4",1995-01-10,"0",38.7,-121.3,"1",0,"2","2","1",30000,203700
"8","0","1",1997-01-25,"1",37.6,-121,"1",0,"3","2","0",396.19,195000
"11","0","2",1995-02-15,"0",39.1,-121.6,"2",0,"2","2","1",33522,160000
"23","0","1",1995-03-11,"1",38.5,-121.5,"1",0,"3","2","0",1128.2,94800
"33","0","1",1997-01-01,"1",38.5,-121.5,"1",0,"3","2","0",1428.75,94800
"35","0","1",2000-10-28,"0",37.7,-122.4,"3",0,"3","3","0",22390.94,30000
"41","0","1",2005-04-28,"0",37.6,-122.4,"3",0,"3","3","0",5e+05,1000000
"42","0","2",1998-02-07,"0",34.1,-118.6,"1",0,"3","2","0",1912.36,93000
"57","0","1",2000-02-27,"0",39.9,-121,"2",0,"2","1","0",363.5,32800
"59","0","2",1995-03-17,"0",38.3,-122.3,"2",0,"2","3","0",7798.17,55100
"60","0","3",1995-01-09,"0",38.6,-121.5,"3",0,"3","1","1",838.02,164500
"80","0","1",1988-01-18,"0",33,-117.3,"1",0,"3","2","1",26029.5,245000
"81","0","2",1995-01-10,"0",33.7,-118,"1",0,"3","2","1",441.5,175000
"94","0","4",1986-02-18,"1",38.7,-121.2,"1",0,"3","2","1",3447.67,92500
"95","0","4",1995-01-10,"1",38.7,-121.2,"1",0,"3","2","1",55900,137900
"99","0","1",1998-02-06,"0",32.8,-117.3,"1",0,"1","2","1",6817,50000
"101","0","1",2020-07-03,"0",33.5,-117.7,"3",0,"3","2","0",10732.22,350000
"104","0","2",1995-01-10,"0",34.1,-118.5,"1",0,"2","2","1",9962.85,245000
"109","1","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",52635.36,201100
"112","0","2",1998-02-04,"0",34.1,-118.5,"1",0,"2","2","0",2754.65,310000
"118","0","2",1995-03-09,"0",38.9,-122.6,"1",0,"3","2","0",3618.5,125000
"119","0","2",1998-02-03,"0",37.6,-122.5,"1",0,"2","2","1",734.62,62000
"122","0","3",1998-02-23,"0",33.7,-117.6,"1",0,"3","2","1",1937.75,188000
"125","0","2",1998-02-16,"0",34.6,-120.5,"1",0,"2","2","0",62.7,188000
"127","0","2",1998-02-08,"0",34.1,-118.6,"1",0,"3","2","0",2348,310000
"128","0","2",1998-02-17,"0",34,-118.7,"1",0,"3","2","1",4253.01,310000
"145","0","1",1997-01-02,"1",37.6,-121,"1",0,"3","2","0",10000,195000
"146","0","2",1998-03-15,"0",34.2,-118.5,"1",0,"2","2","0",4245,310000
"151","0","2",1997-01-01,"1",38.5,-122.4,"1",0,"2","2","1",6409.02,350000
"152","0","2",1997-01-01,"0",38.5,-122.4,"1",0,"2","2","0",7651.39,50000
"168","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",20000,20000
"174","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"3","3","0",10559.92,902000
"178","0","1",2006-01-01,"0",38.6,-121.8,"2",0,"2","2","1",549.35,258000
"179","0","1",2009-10-14,"0",36.5,-118.9,"3",0,"1","2","0",7465.55,280000
"187","1","2",2005-12-31,"0",38.3,-122.3,"3",0,"3","1","0",955,275000
"191","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","1",4140.86,214200
"194","0","2",2005-12-31,"0",38.3,-122.3,"1",0,"2","3","0",27010.4,122300
"196","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",143651.18,810400
"198","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"3","3","0",11296.08,25000
"200","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",17255.06,20000
"202","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",3412.35,99100
"203","0","2",2005-12-31,"0",38.3,-122.3,"1",0,"3","2","1",10049.3,215000
"205","0","2",2005-12-31,"0",38.1,-122.5,"3",0,"3","3","0",2500,200000
"208","0","1",2011-03-24,"0",37,-122,"3",0,"3","3","0",6839.48,233800
"210","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","3","0",14700.25,300000
"217","0","2",2005-12-31,"1",38.3,-122.3,"2",0,"2","2","1",2872.32,190000
"227","0","1",2008-01-05,"0",37,-122,"2",0,"2","2","0",7985.41,115000
"230","0","4",1997-01-05,"0",38.3,-121.6,"1",0,"3","2","0",16666.57,125000
"236","0","1",2017-02-06,"1",40.1,-120.9,"1",0,"1","2","0",10000,160000
"240","0","1",1995-01-04,"0",33.7,-118.1,"1",0,"3","2","0",13340.27,245000
"249","0","1",1995-03-11,"0",37.6,-121,"1",0,"1","2","1",500,245000
"260","0","3",1995-01-09,"0",38.6,-121.5,"2",0,"1","3","0",13801.02,40000
"264","0","1",1997-01-01,"0",39.8,-121.7,"1",0,"2","2","0",3975.93,49000
"273","0","2",1995-01-10,"1",34,-118.6,"1",0,"1","2","0",10117.15,245000
"276","0","1",1998-02-08,"0",33.5,-117.8,"1",0,"3","2","0",3446,310000
"279","0","3",1997-01-01,"1",39.1,-120.2,"1",0,"1","2","1",3648.37,127600
"287","0","2",1998-02-02,"0",39,-122.8,"1",0,"3","2","1",1711,310000
"304","0","2",1992-02-10,"0",34.1,-118.8,"1",0,"2","2","0",4670.41,115500
"308","0","2",2006-01-01,"0",38.3,-122.3,"1",0,"3","1","1",4376.68,89800
"316","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","1",4043.18,114000
"318","0","1",2016-03-05,"0",37.6,-122.4,"2",0,"2","2","1",2555.7,350000
"319","0","1",2017-02-08,"0",40,-121,"2",1.3,"2","2","1",2982.42,282700
"320","0","2",1997-02-01,"0",37.5,-121.1,"2",0,"2","2","0",710,187600
"325","0","2",2017-02-21,"1",37.3,-121.9,"1",0,"3","2","1",16894.84,275000
"381","0","3",1995-01-10,"0",34.4,-119.3,"1",0,"2","2","0",6738.25,125000
"383","0","1",1997-01-14,"0",38.4,-122.8,"2",0,"2","3","0",500,210000
"386","0","2",1995-01-09,"1",38.4,-122.3,"1",0,"1","2","1",5571.07,195000
"387","0","2",1995-03-09,"1",38.4,-122.3,"1",0,"1","2","1",2763.98,195000
"388","0","2",1998-02-03,"1",38.4,-122.3,"1",0,"1","2","1",171.52,210000
"389","0","2",2006-01-06,"0",39.2,-121.6,"2",0,"2","3","0",27750,200000
"391","0","2",2006-01-01,"0",39.2,-121.6,"2",0,"2","3","0",45400,150000
"392","0","2",2006-01-06,"0",39.2,-121.6,"3",0,"3","3","0",228.07,125000
"393","0","2",2006-01-01,"0",39.2,-121.6,"2",0,"2","3","0",33374.42,700000
"394","0","2",2006-01-06,"0",39.2,-121.6,"2",0,"2","3","0",27750,200000
"396","0","3",1995-01-09,"0",38.8,-121.2,"1",0,"3","2","0",411,25000
"412","0","2",1993-01-20,"0",38.3,-122.3,"2",0,"2","3","0",501,450000
"418","0","2",1995-02-14,"0",34.2,-118.1,"2",0,"2","2","0",2329,245000
"424","0","2",2018-01-09,"1",34.4,-119.6,"1",0,"3","2","1",33600,283600
"430","0","1",1995-01-10,"1",38.5,-123,"1",0,"2","2","0",2418.25,30700
"431","0","2",2005-12-31,"0",38.3,-122.3,"2",0,"2","2","1",2031.72,139300
"434","0","2",1997-01-01,"1",38.4,-122.3,"1",0,"2","2","0",1083.43,285500
